sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-20.940210390848964,-18.38911827769057,-19.841502985117984,-19.72361055121917,1.2796256139717892,0.7387921926885527
12,-20.72932302593637,-19.35893869482169,-20.346963165137367,-20.14507496196514,0.7071473952976429,0.4082717390318369
14,-20.605316019567564,-19.928598835690394,-20.10367543989068,-20.21253009838288,0.35124569640815784,0.2027917973729475
16,-20.427920447234023,-19.489094115932936,-20.266535954389077,-20.06118350585201,0.5019720521863648,0.2898136994554666
18,-19.874758965063187,-19.406657308818108,-20.28469268047639,-19.85536965145256,0.43933869347292026,0.253652312942009
20,-19.584331079186605,-19.245870443681657,-19.98432736935549,-19.604842964074585,0.3696555299669623,0.21342071973385948
22,-19.37475017017409,-19.17419496385597,-19.97922245243167,-19.509389195487245,0.4190621251003029,0.24194563073383651
24,-19.182188869465303,-18.8773250485786,-20.01867109882869,-19.359395005624197,0.5909477241048003,0.3411838275889032
26,-19.00036444617029,-18.86004270184537,-20.28465316577044,-19.381686771262036,0.7851329697517678,0.4532967314358335
28,-18.979345130810515,-18.71657172551618,-20.62648375239964,-19.440800202908775,1.0352036395233706,0.5976750999448983
30,-18.8664932479595,-18.574804599070323,-20.74031096046056,-19.393869602496796,1.1751377854529157,0.6784661167661417
