sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-19.236548056418282,2.837672189537658,1.6383308025014818
12,-18.926004294139393,3.004841989806393,1.734846331687012
14,-18.48464821752312,2.66678559560988,1.5396693814963809
16,-18.537418245927512,2.4201291777442275,1.3972622322442976
18,-18.56258170505608,2.031427575882319,1.1728452577748858
20,-18.682314283878334,1.6956607702229638,0.9789902021425164
22,-19.011439921478885,1.6157756471214062,0.9328685048155857
24,-19.063119661976746,1.5877635902500549,0.9166957362403559
26,-19.171596197414647,1.327615250963933,0.7664990225242793
28,-19.363440542481687,1.282170172155031,0.7402612940406159
30,-19.393869602496796,1.1751377854529157,0.6784661167661417
