Stage,dG (kcal/mol),err (kcal/mol)
Separation,-26.160312079467996,1.4114078582272007
RMSD DCAF16_only,-6.266331276023226,0.2629430458150256
RMSD BD1withDCAF16,-3.3780403009998907,0.0375341594332796
RMSD BD2_IBG1withDCAF16andBD1,-2.772859992684563,0.2014390017489567
RMSD DCAF16,5.173379281448742,0.07750496395644993
RMSD BD1_only_bulk,2.796905361061034,0.0280482847760821
RMSD BD2_IBG1withBD1_bulk,4.217355249115357,0.17803231817733298
thetaA,-0.03178940891217219,0.00891837054872513
thetaB,-0.12014146048943486,0.007767867500319563
phiA,-0.045443530245007725,0.007540738852006177
phiB,-0.04991814768940008,0.008591287847626678
phiC,-1.1002364901896644,0.06290470147562417
Standard state corr,7.387567690631169,0.0
Total,-20.349865104445055,1.4648940083590076
