Stage,dG (kcal/mol),err (kcal/mol)
Separation,-17.140149506203763,0.8143193212366422
RMSD DCAF16_only,-3.6759279564359217,0.20161737349807693
RMSD BD1withDCAF16,-3.5228647086049043,0.0199220288803986
RMSD BD2withDCAF16andBD1,-1.8994545418966842,0.04593329407792802
RMSD DCAF16,3.6115623311585288,0.08195257853109005
RMSD BD1_only_bulk,2.8971325247586335,0.21545672299892293
RMSD BD2withBD1_bulk,2.8075597108230212,0.042657004507186284
thetaA,-0.03227581225726251,0.00291095961023733
thetaB,-0.045688419293746785,0.003916760498252046
phiA,-0.0466486661200358,0.0051194353885633806
phiB,-0.058215523283225816,0.011182062581477303
phiC,-0.09168073133487838,0.023940664122378025
Standard state corr,7.419097977758476,0.0
Total,-9.777553320931762,0.8729134773054728
