sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-23.296220999546623,1.087383517292955,0.6278011664214497
12,-22.346889772715844,0.7002462415633667,0.4042873560656335
14,-21.768442741421023,0.4327452184599152,0.24984556836835548
16,-21.505856309056043,0.11730581391322367,0.06772654324030784
18,-21.321058956052486,0.38587211003390776,0.22278336660084555
20,-21.201484330917896,0.9004612646971228,0.5198815535677148
22,-21.06142887396457,1.2327409031355325,0.7117232922663621
24,-21.068946040534986,1.2503437371773185,0.7218862932388875
26,-20.966608804299945,1.3371509388149727,0.7720044544719854
28,-20.840317539694638,1.395624598073645,0.8057642373854823
30,-20.666569916007322,1.6532766624038893,0.9545197260838115
