sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-20.73070755004733,-16.36313122122211,-23.06181796838826,-20.0518855798859,3.4005441453604526,1.9633050777150634
12,-20.25812641315225,-16.24033516306549,-22.77138102109922,-19.756614199105655,3.29427926496272,1.9019530204120292
14,-20.50789768241465,-16.18523129534255,-22.67362364590409,-19.788917541220428,3.3034085663568957,1.9072238250294695
16,-20.80260420646424,-16.20297522226588,-22.54612125466849,-19.8505668944662,3.276988965448857,1.891970461333331
18,-20.68940040013993,-15.834126915577642,-22.517411434787505,-19.680312916835025,3.4540217360201315,1.9941803790780415
20,-20.507205586489874,-16.094292901322856,-22.189411510689958,-19.596969999500896,3.147858690193886,1.8174170621543428
22,-20.43746142411462,-16.786735564942763,-22.014891189396774,-19.746362726151386,2.6817188268202887,1.5482910865555812
24,-20.467774828705583,-17.589876688423658,-21.89326890132703,-19.983640139485427,2.1921646681987808,1.2656468612925529
26,-20.758611913144623,-17.999680486692732,-21.896187452331382,-20.218159950722914,2.0036860722382985,1.1568286931782856
28,-21.0989341104811,-18.48323765547948,-21.75893483434556,-20.44703553343538,1.7324193539595059,1.0002127803578382
30,-21.14462147285936,-18.826943077293997,-22.02814519786861,-20.666569916007322,1.6532766624038893,0.9545197260838115
