CV,equilibration_time_ns
0.0,2.3875
0.2,4.5995
0.4,0.7265
0.6,6.1005
0.8,4.5305
1.0,0.3085
1.2,1.1855
1.4,7.1495
1.6,2.4265
1.8,1.8105
2.0,8.1945
2.2,6.0945
2.4,2.293
2.6,0.4945
2.8,8.521
3.0,2.9130000000000003
3.2,2.8810000000000002
