sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-1.1193144261896557,-1.036444681645986,-1.171800589608628,-1.1091865658147564,0.06824394201632769,0.03940065829368801
2,-1.0689718171401024,-0.9976030870288933,-1.0197789707070537,-1.0287846249586832,0.03652670619966393,0.021088703656986344
3,-1.0918740409592207,-0.9438909182958966,-0.9835560172404412,-1.0064403254985195,0.07659973773868403,0.04422487920328396
4,-1.0846929073233218,-0.9208581940637448,-0.9244702324585024,-0.976673777948523,0.09356474196249591,0.05401962895870489
5,-1.079858273023984,-0.8711420722982752,-0.8704039544979207,-0.94046809994006,0.12071599508245182,0.0696954122563471
