sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.1683254799296766,-0.208192209199586,-0.1650889196379275,-0.18053553625573004,0.0240059888230644,0.013859864109159379
2,-0.152981176068121,-0.179683469145269,-0.1483424501916059,-0.16033569846833198,0.016915425417791626,0.009766125418419033
3,-0.1408353895754917,-0.1563755856509391,-0.1479025096345776,-0.14837116162033614,0.007780690813074009,0.004492183935409528
4,-0.1372259681478359,-0.1544563622431069,-0.1498144330825178,-0.14716558782448688,0.008915374701622606,0.005147293983908191
5,-0.1352585269907127,-0.1592167936304921,-0.1486298894971475,-0.14770173670611744,0.012006070789326303,0.006931708202127244
