sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-4.699388755820189,-5.018847926570277,-4.349120952738427,-4.689119211709631,0.33498157042092747,0.19340169985608607
12,-4.476921382035486,-5.001598401048851,-4.365844126813227,-4.614787969965854,0.3395604089891632,0.19604529353603278
14,-4.344636147746707,-5.000636435519021,-4.2691060751641725,-4.538126219476633,0.40232197668504605,0.23228070154001368
16,-4.218038865744945,-4.990996497505647,-4.189376729731414,-4.466137364327335,0.4547672061293901,0.2625599688774174
18,-4.096854922655248,-4.976776048478492,-4.148930507848524,-4.407520492994088,0.4936769006452488,0.2850244914802345
20,-3.9917825479626505,-4.965786756018344,-4.115657024752601,-4.357742109577866,0.5302121655985378,0.30611813653593023
