CV,equilibration_time_ns
0.9,7.4825
0.95,4.4985
1.0,4.8405000000000005
1.05,4.8915
1.1,5.1815
1.15,5.8405000000000005
1.2,0.1805
1.25,5.7715000000000005
1.3,0.5255
1.35,5.6535
1.4,4.4705
1.45,4.1485
1.5,8.8335
1.55,8.775500000000001
1.6,5.1395
1.65,1.8215000000000001
1.7,0.2985
1.75,1.9105
1.8,5.1055
1.85,0.6325000000000001
1.9,0.0005
1.95,0.0275
2.0,1.4925
2.05,1.8195000000000001
2.1,0.0105
2.2,1.5515
2.3,0.0235
2.4,0.0015
2.5,0.4955
2.6,0.0045000000000000005
2.7,0.0225
2.8,0.006500000000000001
2.9,0.0055
3.0,0.1155
