Stage,dG (kcal/mol),err (kcal/mol)
Separation,-11.061545331703892,0.30383502165807325
RMSD DCAF16_only,-5.825006845879759,0.4294268581142754
RMSD BD2withDCAF16,-3.6974709661482037,0.015904502547973983
RMSD BD2,2.0351833744641024,0.0539049337548883
RMSD DCAF16,5.2517835063118055,0.15268672190536667
thetaA,-0.18346900185162626,0.08308395071455019
thetaB,-0.30155835083915855,0.07053555119553755
phiA,-1.9034621356365324,0.4493776678223845
phiB,-0.26937089601426734,0.11516568802214319
phiC,-0.1325361264364946,0.044773099938603685
Standard state corr,7.362036504415342,0.0
Total,-8.725416269318686,0.7295761360875856
