CV,equilibration_time_ns
0.0,1.5205
0.2,4.1145000000000005
0.4,8.9475
0.6,7.9305
0.8,2.6235
1.0,4.0245
1.2,8.6165
1.4,2.3475
1.6,2.6905
1.8,8.7535
2.0,8.9945
2.2,2.4205
2.4,3.0540000000000003
2.6,4.3125
2.8,6.263
3.0,1.07
3.2,8.955
3.4,8.132
3.6,6.46
3.8,8.833
4.0,8.463000000000001
