,Frame number,HADDOCK score
0,1,-68.318
1,2,-62.5071
2,3,-63.767
3,4,-67.8611
4,5,-77.2205
5,6,-77.9339
6,7,-71.8285
7,8,-66.8503
8,9,-74.8208
9,10,-61.1873
10,11,-69.5276
11,12,-67.6543
12,13,-70.8773
13,14,-63.9561
14,15,-54.7941
15,16,-63.9869
16,17,-67.7913
17,18,-56.4507
18,19,-60.5102
19,20,-46.3201
20,21,-65.3019
21,22,-65.2973
22,23,-60.4819
23,24,-56.1691
24,25,-61.8265
25,26,-59.153
26,27,-62.1864
27,28,-66.4109
28,29,-58.4832
29,30,-61.3453
30,31,-52.5927
31,32,-50.3789
32,33,-54.1342
33,34,-64.7713
34,35,-49.7508
35,36,-63.5975
36,37,-56.7196
37,38,-64.1391
38,39,-54.4919
39,40,-60.2257
40,41,-55.152
41,42,-58.1939
42,43,-69.2508
43,44,-72.1986
44,45,-76.7432
45,46,-66.8555
46,47,-58.4086
47,48,-67.4731
48,49,-63.6187
49,50,-54.2665
50,51,-62.9962
51,52,-64.5005
52,53,-63.5134
53,54,-70.1849
54,55,-71.3749
55,56,-65.0771
56,57,-66.7129
57,58,-70.7101
58,59,-73.4709
59,60,-70.2116
60,61,-75.6186
61,62,-77.3415
62,63,-63.4157
63,64,-72.9862
64,65,-73.0567
65,66,-75.2021
66,67,-82.268
67,68,-84.2994
68,69,-72.3821
69,70,-79.8736
70,71,-79.4886
71,72,-68.3597
72,73,-70.5268
73,74,-64.9015
74,75,-58.8619
75,76,-81.4984
76,77,-67.9569
77,78,-79.0121
78,79,-70.681
79,80,-71.6945
80,81,-73.9636
81,82,-72.7473
82,83,-91.8313
83,84,-87.7043
84,85,-85.0084
85,86,-87.0317
86,87,-77.8636
87,88,-83.4632
88,89,-84.3844
89,90,-78.6086
90,91,-76.2863
91,92,-81.0476
92,93,-80.5499
93,94,-75.7838
94,95,-78.6436
95,96,-70.7868
96,97,-87.9568
97,98,-74.5193
98,99,-87.6473
99,100,-64.2669
