Stage,dG (kcal/mol),err (kcal/mol)
Separation,-15.599061896111925,0.8800185618022904
RMSD CRBN_len_only,-4.357742109577866,0.30611813653593
RMSD CK1aI37EwithCRBN_len,-4.119768114085784,0.374062857975283
RMSD CRBN_len,3.6872764911279545,0.09478499187930524
RMSD CK1aI37E,3.5628775657477987,0.08850865648590914
thetaA,-0.031096920367711226,0.007296016938018064
thetaB,-0.015503536921694297,0.0034618960947405695
phiA,-0.277037016679976,0.08910716425811883
phiB,-0.09583371846810869,0.02119624999554919
phiC,-0.07086143974356075,0.007243460652880221
Standard state corr,7.903647752935092,0.0
Total,-9.413102942145777,1.016557442230343
