sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-15.630575167455085,-15.624980248664835,-14.833543199403817,-15.363032871841247,0.4585600404445302,0.2647497627902552
12,-15.650077401507405,-15.692924962726844,-15.584385977939856,-15.642462780724701,0.05466868063064762,0.031562977478346084
14,-15.554450483892428,-15.84761324572426,-15.475520065192368,-15.625861264936352,0.19605600854491076,0.1131929893096478
16,-15.381973154498525,-15.9382171894519,-15.170938211231388,-15.49704285172727,0.39637108121054265,0.22884495043588982
18,-15.324795371330836,-15.923318298605388,-14.825056375928629,-15.357723348621619,0.5498708952715714,0.3174681094045823
20,-15.24671384471447,-15.965334012740078,-14.801493216406053,-15.337847024620201,0.5872480669722565,0.3390478295475197
22,-15.006743264374164,-15.95295226631315,-15.014638482944626,-15.32477800454398,0.5440291912949164,0.31409540004113445
24,-14.70903114450095,-16.272877127365934,-15.172341129245792,-15.384749800370892,0.8032693491025197,0.46376777493611526
26,-14.427540946477386,-16.63179243543211,-15.450736250919254,-15.50335654427625,1.1030674630749076,0.6368562967406155
28,-14.299182106260004,-16.956022295843386,-15.469770304696285,-15.574991568933223,1.3315418071101188,0.7687660207722679
30,-14.150755601266615,-17.189300873336293,-15.45712921373288,-15.599061896111929,1.524236860645265,0.8800185618022939
