sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,3.367244667273797,3.525844757624821,3.354056329217113,3.4157152513719105,0.09560263686638953,0.05519620813004804
12,3.3921855826536453,3.5699269822491937,3.279641094649807,3.413917886517549,0.14635810161472348,0.08449988936534321
14,3.3233926301364045,3.6583168800319887,3.1640876031266774,3.381932371098357,0.25226141300544974,0.1456431947048518
16,3.279239355067453,3.637426119542497,3.131326658941887,3.3493307111839457,0.2602282933440248,0.15024287521292964
18,3.232766781382112,3.6340011183777263,3.091760433322054,3.3195094443606306,0.28133513345806077,0.16242891503451068
20,3.1890967761682387,3.5722554885637945,3.063615210094107,3.27498915827538,0.26497520487483295,0.15298350586306106
