sampling_time_ns,dg_kcal_mol
10,-16.129901655505968
12,-16.320391131650794
14,-15.71403784684001
16,-15.628004816914643
18,-15.48179017856893
20,-15.550961819973827
22,-15.570553484988547
24,-15.610139669956446
26,-15.707125958296965
28,-15.575600327619558
30,-15.45712921373288
