CV,equilibration_time_ns
0.9,3.7255000000000003
0.95,6.6505
1.0,7.9885
1.05,1.5065
1.1,4.2585
1.15,0.4055
1.2,0.3725
1.25,1.6795
1.3,0.0005
1.35,0.1005
1.4,0.5075000000000001
1.45,3.1045000000000003
1.5,7.2445
1.55,8.8805
1.6,1.5745
1.65,0.2195
1.7,0.1005
1.75,4.3905
1.8,0.035500000000000004
1.85,0.0045000000000000005
1.9,0.0005
1.95,0.0345
2.0,0.1345
2.05,0.1215
2.1,0.0015
2.2,3.2735
2.3,0.0005
2.4,0.0205
2.5,0.0125
2.6,0.0045000000000000005
2.7,0.0095
2.8,0.0205
2.9,0.8335
3.0,0.14150000000000001
