CV,equilibration_time_ns
0.0,1.7005000000000001
0.2,0.1075
0.4,0.2235
0.6,1.2055
0.8,0.0325
1.0,3.1945
1.2,1.4995
1.4,8.4585
1.6,4.0695
1.8,7.3795
2.0,7.7255
2.2,0.2985
2.4,0.764
2.6,4.1485
