sampling_time_ns,dg_kcal_mol
10,-17.86364333472334
12,-17.110273297258555
14,-16.87263434830653
16,-17.079567250653003
18,-17.46543817236739
20,-17.710077286962463
22,-18.36081437990456
24,-18.39696407831884
26,-18.49834315968584
28,-18.538462427728444
30,-18.574804599070323
