sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,7.108172809651355,7.490024520775586,7.874577190555673,7.490924840327538,0.3832029836768036,0.22124234578007035
12,7.2835001321808335,7.239982531987934,7.9098129296449455,7.477765197937905,0.37479644773735094,0.21638882999247508
14,7.114879947074448,7.075117217852643,7.873479897145328,7.354492354024141,0.4498959002869633,0.2597475191379873
16,6.99354163396725,7.09687840745424,7.696092012705224,7.262170684708905,0.37932230537663114,0.21900183511882743
18,6.896749652484229,7.0209187444205945,7.5915431352232545,7.1697371773760254,0.37053298153422026,0.2139273166324167
20,6.743725914010925,6.968011025973106,7.489661163437034,7.0671327011403555,0.38271879879366894,0.22096280150745498
