sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.5507113086114241,-0.5542924460993152,-0.4861241346988384,-0.5303759631365259,0.03836501500697856,0.022150051741743105
2,-0.5199997183424011,-0.564206587511849,-0.4721860360604273,-0.5187974473048925,0.04602205519195837,0.02657084595373698
3,-0.5057464927071316,-0.5341716132190328,-0.48710741462510576,-0.5090085068504234,0.023701060092861433,0.013683813424693046
4,-0.49323203200633947,-0.5254085268227303,-0.4922062084659141,-0.5036155890983279,0.01888020602320806,0.010900492029854767
5,-0.4876203046903997,-0.5252824631723938,-0.4950444905899597,-0.5026490861509177,0.019949484971171993,0.011517840518300545
