sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-14.509826524656155,-13.667539596094542,-13.94731337414154,-14.041559831630744,0.4289797356150841,0.24767156583426334
12,-14.45105556086538,-13.373246974600054,-14.259562780629844,-14.027955105365093,0.5750212375103826,0.33198866626637114
14,-14.851953249136876,-13.300521224486118,-14.22243215824971,-14.124968877290902,0.7802945918878519,0.4505032926736605
16,-14.820574174300775,-13.22133928350224,-14.415209689268986,-14.152374382357335,0.8313843021770118,0.4799999506619269
18,-14.835593497396452,-13.364201508493496,-14.40743853047356,-14.202411178787836,0.7568195012394934,0.43694994276857985
20,-14.627222098332776,-13.69243240844176,-14.043765976378223,-14.121140161050919,0.47217371212505976,0.27260961979966813
22,-14.64133274228201,-13.901201703001258,-13.93259354255052,-14.158375995944596,0.41854722077943335,0.24164835058557557
24,-14.393665442046606,-14.132758072825393,-13.637992708071335,-14.054805407647779,0.3838199886986541,0.22159857379552705
26,-14.34901865248555,-14.115503561350828,-13.36836072615296,-13.944294313329777,0.5122567198931447,0.29575155512450185
28,-14.46824386680889,-14.047667212439771,-13.195104124942851,-13.903671734730503,0.6486695798171989,0.3745095565225812
30,-14.29219312954624,-13.987843654377498,-13.007074331093053,-13.762370371672263,0.6715736984463035,0.3877332555786459
