sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-12.661829277056832,1.616284747663405,0.9331624341505533
12,-12.870020656629473,1.491437638535527,0.8610819220880264
14,-13.144740840203175,1.8393721011645805,1.0619619777472582
16,-13.380130694100279,1.7272621399876544,0.9972352614829214
18,-13.379085501021938,1.4369959577357267,0.829650003023126
20,-13.55255016202308,1.0940636502668166,0.6316579429921312
22,-13.561513917815,1.0530463296686163,0.607976581903323
24,-13.625436791529884,0.7066077522995758,0.40796017600163653
26,-13.716142249573702,0.6878434777282878,0.39712661702675534
28,-13.774742880630527,0.734367275956703,0.42398714445765473
30,-13.762370371672263,0.6715736984463035,0.3877332555786459
