sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-12.41501063997292,-8.985477160683992,-10.633468357232308,-10.677985385963074,1.7152000745616143,0.9902712247622142
12,-12.010232760965344,-8.781893345380752,-10.249158020719,-10.347094709021698,1.6163964679932465,0.9332269359130613
14,-12.012354752680393,-8.870642892429485,-10.225703372920568,-10.369567006010149,1.575788980766335,0.9097821922314896
16,-11.691361866232567,-8.882835704831365,-10.160703860396415,-10.244967143820118,1.4061578949459232,0.8118456391701463
18,-11.432802257237594,-8.771439665283237,-10.106210052812385,-10.103483991777738,1.3306833902247657,0.7682704135524323
20,-11.23030562198588,-8.582543172789824,-10.106299911053968,-9.97304956860989,1.3289011389732008,0.7672414303125779
22,-11.047373815235254,-8.667578896977398,-10.022639817283164,-9.912530843165271,1.1937122571530585,0.6891900930022742
24,-11.062794384236453,-9.020350840405404,-10.024760224444428,-10.035968483028762,1.0212679013019321,0.5896292977313947
26,-10.97847046113921,-9.222751497984538,-10.168182068607344,-10.123134675910364,0.8787259072582453,0.507332639099446
28,-10.664606799670151,-9.314867837533937,-9.946498791007034,-9.975324476070375,0.675331034801944,0.3899025547350109
30,-10.615030345227355,-9.273825152145644,-10.025321200704846,-9.971392232692615,0.6722269651542444,0.38811041928832823
