sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-9.61084536279384,-10.313180884974502,-9.919246457010372,-9.94775756825957,0.35203474122264355,0.20324735260899351
12,-9.453644675119971,-9.900756102030824,-9.715267568271958,-9.68988944847425,0.2246334653205413,0.12969219167181298
14,-9.446530665673311,-9.67163723872316,-9.700544032438136,-9.606237312278203,0.13906315258922775,0.08028814858174865
16,-9.328444193285158,-9.617561508207976,-9.663247481457091,-9.536417727650075,0.18155314727403163,0.10481975845088594
18,-9.843098889801569,-9.425399459336578,-9.473930538761865,-9.580809629300004,0.22844158673146445,0.13189081159351626
20,-9.70360319684882,-9.282978342174673,-9.569059880657,-9.518547139893498,0.21481380269198813,0.1240228068098665
22,-10.131250381709911,-9.204110220702974,-9.986897827391182,-9.774086143268022,0.4988625353867476,0.28801841909415793
24,-10.244781120627936,-9.37541208643222,-10.228208881357231,-9.949467362805796,0.49721550159650885,0.2870675036919992
26,-10.493479651657132,-9.293163382986922,-10.137503212751554,-9.974715415798537,0.6164938656111729,0.35593289926436367
28,-10.549519431286557,-9.257948547485157,-10.042961077985346,-9.95014301891902,0.6507689536521488,0.37572163057131924
30,-10.615030345227355,-9.273825152145644,-10.025321200704846,-9.971392232692615,0.6722269651542444,0.38811041928832823
