Stage,dG (kcal/mol),err (kcal/mol)
Separation,-9.949841586158172,0.6020404497990688
RMSD DCAF16_only,-5.430519503711275,0.07061653153820958
RMSD BD1withDCAF16,-2.1973262365002935,0.03524457869111867
RMSD BD1,2.7922494553786597,0.028339638937150472
RMSD DCAF16,6.207344083698181,0.24537268454026567
thetaA,-0.01769566998768416,0.0012163871845925155
thetaB,-0.0372228533333847,0.005678205833660673
phiA,-0.064678310851232,0.00964895824933588
phiB,-0.04424236882984245,0.008192169276807354
phiC,-0.06265181332464463,0.01791697597121925
Standard state corr,7.356558368419072,0.0
Total,-1.448026435200613,0.6559019905301661
