CV,equilibration_time_ns
0.0,5.2735
0.2,2.8985
0.4,0.5175
0.6,7.6975
0.8,8.5375
1.0,0.4165
1.2,1.2585
1.4,6.3495
1.6,2.8605
1.8,4.3795
2.0,0.4945
2.2,7.8455
2.4,7.4505
2.6,8.2805
2.8,1.0705
3.0,4.1485
3.2,6.38
3.4,2.595
3.6,1.8860000000000001
3.8,1.455
