sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,4.032753240597717,4.5496245097425705,4.626871954798366,4.403083235046219,0.32303253788601843,0.18650292270550073
12,4.094829182458445,4.608176393031059,4.838485273506283,4.513830282998595,0.380699339107426,0.21979686591398503
14,4.112144652971831,4.704832059139842,4.9144502227127935,4.5771423116081555,0.4161154413475568,0.24024436207597186
16,4.197430993087602,4.8191008784036224,5.018902383980326,4.678478085157184,0.4284097209437827,0.24734246771034543
18,4.31017641649717,4.962325603946804,5.061717407725113,4.77807314272303,0.40824648495024884,0.23570121798174468
20,4.420790933986751,5.075033918973585,5.084133709159294,4.85998618737321,0.38038145918702826,0.21961333785637344
