sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.6935477724198142,-0.7583462333113914,-0.7966224313713046,-0.7495054790341701,0.05210293208288924,0.030081641863624893
2,-0.7052263796249868,-0.6913302381083835,-0.7755065277439736,-0.7240210484924479,0.04512584201521144,0.026053417034890853
3,-0.7150193278114181,-0.7012523905570031,-0.7202679360548276,-0.7121798848077496,0.009820619637949056,0.005669937391578813
4,-0.6760053479478756,-0.713159947455897,-0.687065055529968,-0.6920767836445801,0.01907758187432204,0.011014447030626956
5,-0.662351147743906,-0.6932663315688411,-0.6680407426660919,-0.674552740659613,0.016454231557052394,0.009499855018772634
