sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.2564494959654985,-0.4375313132914357,-0.4450728632357199,-0.37968455749755137,0.10679128727099965,0.06165597845301831
2,-0.2426662405342839,-0.5162847364163978,-0.3729981683353098,-0.37731638176199717,0.13686035053146844,0.07901636022072986
3,-0.27251517550916,-0.5507109376551731,-0.3312966400379308,-0.3848409177340879,0.14662354099701272,0.08465314086416142
4,-0.2999727469424488,-0.5697456523561235,-0.3511375843224611,-0.4069519945403444,0.14328569857041384,0.082726036640652
5,-0.2998045347765016,-0.5419274986018856,-0.3686540434754561,-0.40346202561794775,0.12475808237754005,0.07202911244425425
