,Frame number,HADDOCK score
0,1,-81.0053
1,2,-67.9698
2,3,-69.86
3,4,-68.4622
4,5,-64.7954
5,6,-70.6761
6,7,-63.8611
7,8,-65.1879
8,9,-69.8821
9,10,-67.9173
10,11,-58.8907
11,12,-71.7215
12,13,-67.9825
13,14,-71.4627
14,15,-54.5548
15,16,-64.1421
16,17,-62.4054
17,18,-56.9362
18,19,-68.9341
19,20,-77.3438
20,21,-67.3006
21,22,-75.3858
22,23,-65.2866
23,24,-52.5427
24,25,-67.767
25,26,-66.1823
26,27,-71.8929
27,28,-70.9798
28,29,-68.5354
29,30,-58.8834
30,31,-73.0668
31,32,-70.7881
32,33,-67.073
33,34,-71.0156
34,35,-72.8053
35,36,-71.0564
36,37,-77.4173
37,38,-71.6807
38,39,-63.1453
39,40,-60.8668
40,41,-63.0405
41,42,-66.5556
42,43,-55.8062
43,44,-58.367
44,45,-56.6811
45,46,-68.1881
46,47,-58.3685
47,48,-60.8911
48,49,-60.1819
49,50,-61.4669
50,51,-62.1441
51,52,-67.3861
52,53,-60.457
53,54,-61.4238
54,55,-62.6844
55,56,-67.8133
56,57,-60.2354
57,58,-62.2584
58,59,-68.5156
59,60,-64.6046
60,61,-67.0605
61,62,-68.5932
62,63,-73.2989
63,64,-72.2734
64,65,-74.5623
65,66,-80.5907
66,67,-77.9565
67,68,-64.9446
68,69,-71.8789
69,70,-70.8819
70,71,-78.4954
71,72,-89.5931
72,73,-68.0909
73,74,-72.2296
74,75,-64.4536
75,76,-71.5156
76,77,-77.0754
77,78,-73.3625
78,79,-79.0072
79,80,-73.2539
80,81,-73.9811
81,82,-72.0336
82,83,-68.7303
83,84,-77.7385
84,85,-74.2003
85,86,-72.3732
86,87,-74.0298
87,88,-71.8817
88,89,-67.6895
89,90,-73.2257
90,91,-77.0063
91,92,-70.668
92,93,-63.3945
93,94,-72.6569
94,95,-62.9076
95,96,-69.2106
96,97,-65.4694
97,98,-62.6607
98,99,-66.824
99,100,-59.8769
