Stage,dG (kcal/mol),err (kcal/mol)
Separation,-20.762912369502107,0.6818827146949256
RMSD DCAF16_only,-2.988404067781899,0.1260349997319748
RMSD BD1withDCAF16,-2.588770529635079,0.043826245693607845
RMSD BD2_IBG1withDCAF16andBD1,-2.0372220534174295,0.03186923937523259
RMSD DCAF16,4.85998618737321,0.21961333785637344
RMSD BD1_only_bulk,1.4001642415103408,0.0275380043606899
RMSD BD2_IBG1withBD1_bulk,2.247195713481053,0.00913159237883509
thetaA,-0.023795276045063016,0.0053596095537167725
thetaB,-0.057185891589301215,0.016576996496955303
phiA,-0.051126534089297564,0.011935070911552104
phiB,-0.023805759585571656,0.0026087129623329295
phiC,-0.04967374128976924,0.02467735321282206
Standard state corr,7.399552682186281,0.0
Total,-12.675997398384633,0.7306974319819901
