Stage,dG (kcal/mol),err (kcal/mol)
Separation,-16.831171734288557,0.584305182972181
RMSD CRBN_len_only,-5.443051842537869,0.2000689852603634
RMSD CK1aI35GwithCRBN_len,-4.208691715665541,0.014854399654876276
RMSD CRBN_len,5.290123264718475,0.13908065790148344
RMSD CK1aI35G,3.788337285061251,0.08350485758475262
thetaA,-0.03520312129808796,0.0010227194154213296
thetaB,-0.06778511407125065,0.02409805007200733
phiA,-0.23181543088022427,0.13974574997266256
phiB,-0.18227623121347883,0.03544011165687659
phiC,-0.13972024872178654,0.010319502380935007
Standard state corr,8.063140901236483,0.0
Total,-9.998113987660588,0.6553246674696986
