sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,1.391510269471739,,1.3904873684096863,1.3909988189407128,0.000723300277460319,0.0005114505310263029
12,1.3952505725241902,,1.3994752487760496,1.39736291065012,0.002987297226007552,0.0021123381259297025
14,1.379306611073102,,1.4132095567413752,1.3962580839072385,0.02397300278423501,0.01695147283413656
16,1.355050007782579,1.4327240859096448,1.4041398982066915,1.397304663966305,0.03928556889702756,0.022681533777966455
18,1.3578563898179503,1.4432607108738276,1.397254948692097,1.3994573497946252,0.042744735836312664,0.024678684741534562
20,1.3622155097330708,1.450838439226355,1.3845706255388683,1.3992081914994312,0.046089040572898414,0.026609519981454485
