sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-7.526218060440897,-10.6441870054684,-8.575826682791911,-8.915410582900401,1.5864805402048427,0.9159549669513689
12,-8.085452119754239,-10.37025065016433,-7.918243077729322,-8.791315282549297,1.369951600335916,0.7909419252306997
14,-8.210652013262937,-10.500252956620091,-7.990994265412221,-8.900633078431751,1.3896583024503455,0.8023195950013053
16,-8.148076885764842,-10.81657152286436,-7.711800775006371,-8.892149727878524,1.6808133879068825,0.9704180619655656
18,-8.1927671717053,-10.889478962442736,-7.885547145015544,-8.98926442638786,1.652787795960358,0.954237478911041
20,-7.949906147969463,-10.897536675063682,-7.789161124689883,-8.878867982574343,1.7500649154116403,1.0104004500122303
22,-7.9283895420532735,-10.63332104370818,-7.763074532798976,-8.774928372853475,1.611536457045278,0.930421007283987
24,-7.59062658471182,-10.369646381700074,-8.014687448163503,-8.6583201381918,1.497142290421306,0.864375504389914
26,-7.797371789903015,-10.113523265230064,-8.369314194704561,-8.76006974994588,1.2065060472823501,0.6965765911773762
28,-8.056673774031529,-10.141661447126058,-8.504969851119704,-8.901101690759097,1.0974897380026394,0.6336359956686758
30,-8.153533182044283,-10.07260844575202,-8.719592170203134,-8.981911265999813,0.9860633589980012,0.5693039457555227
