Stage,dG (kcal/mol),err (kcal/mol)
Separation,-13.762370371672262,0.3877332555786451
RMSD CRBN_len_only,-4.711209447312216,0.08044347266096559
RMSD CK1aN39GwithCRBN_len,-4.4075834445931354,0.07553144780966446
RMSD CRBN_len,4.580018436820094,0.09282484071187706
RMSD CK1aN39G,3.9012904667466244,0.19286767476065864
thetaA,-0.04248647112901958,0.013055055568785136
thetaB,-0.05792331331396386,0.018463186696618766
phiA,-0.17609695969991665,0.06469222211865247
phiB,-0.2172565355531315,0.08980040274880444
phiC,-0.4555441851547837,0.09336010957799654
Standard state corr,7.7824676720513475,0.0
Total,-7.566694152810363,0.47937902555303086
