sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-1.620547867992721,-1.8273621256072592,-2.031460894416746,-1.826456962672242,0.20545800863240177,0.11862123659108162
2,-1.569755897548101,-1.9028614130129446,-1.8300144059784589,-1.7675439055131683,0.17511922704135807,0.10110513287260728
3,-1.9277355079060006,-1.8043061487465761,-1.9000355787902585,-1.8773590784809449,0.0647639515883278,0.03739148488330495
4,-1.9459094234725949,-1.8903453345354126,-1.9944190933480364,-1.9435579504520148,0.0520767115644981,0.030066503440273475
5,-1.9572486324488922,-1.9145606834551252,-2.0097665345495157,-1.960525283484511,0.04768742865954015,0.027532349773546582
