,Frame number,HADDOCK score
0,1,-122.6201
1,2,-129.4759
2,3,-105.2967
3,4,-119.4068
4,5,-118.0527
5,6,-133.1782
6,7,-133.2801
7,8,-161.7341
8,9,-152.5691
9,10,-131.4003
10,11,-157.1529
11,12,-156.3493
12,13,-148.7309
13,14,-174.9328
14,15,-150.5017
15,16,-156.8607
16,17,-145.5942
17,18,-126.5673
18,19,-139.2495
19,20,-148.305
20,21,-133.9702
21,22,-143.7171
22,23,-148.5929
23,24,-134.028
24,25,-115.5845
25,26,-116.2472
26,27,-129.8663
27,28,-119.0476
28,29,-128.956
29,30,-121.7242
30,31,-135.542
31,32,-118.4745
32,33,-109.6624
33,34,-124.2609
34,35,-108.5515
35,36,-122.5542
36,37,-129.7018
37,38,-131.993
38,39,-133.0441
39,40,-136.6747
40,41,-132.503
41,42,-139.3376
42,43,-171.1565
43,44,-127.1631
44,45,-150.3683
45,46,-155.7552
46,47,-141.823
47,48,-135.6379
48,49,-133.7909
49,50,-145.6309
50,51,-132.4796
51,52,-137.5335
52,53,-133.2656
53,54,-146.7104
54,55,-137.1879
55,56,-150.6427
56,57,-142.9722
57,58,-149.2033
58,59,-145.4605
59,60,-138.9783
60,61,-147.8986
61,62,-127.7678
62,63,-145.5678
63,64,-125.4817
64,65,-165.4822
65,66,-144.5588
66,67,-141.8801
67,68,-124.3537
68,69,-154.266
69,70,-124.8852
70,71,-143.4995
71,72,-143.9101
72,73,-141.3353
73,74,-130.4053
74,75,-133.6039
75,76,-147.8849
76,77,-164.124
77,78,-157.8841
78,79,-155.5644
79,80,-143.6053
80,81,-134.8803
81,82,-150.0527
82,83,-147.4453
83,84,-137.026
84,85,-124.7856
85,86,-118.8381
86,87,-120.7274
87,88,-117.992
88,89,-122.9684
89,90,-113.2526
90,91,-107.308
91,92,-134.8103
92,93,-123.8527
93,94,-149.7596
94,95,-134.5541
95,96,-141.0535
96,97,-156.2496
97,98,-171.3126
98,99,-140.9049
99,100,-137.5906
