sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,2.7870314887661123,3.021249864589231,3.734812416338372,3.1810312565645718,0.49367979661276035,0.2850261634678569
12,2.805585500199311,3.008280978753538,3.6798533152630064,3.164573264738619,0.4576095629550301,0.26420100435583366
14,2.870570255100468,3.014043699970381,3.608515850537636,3.164376601869495,0.39126833695219393,0.22589887966472638
16,2.869975685955441,2.9932269894978067,3.583920700802001,3.149041125418416,0.381625346079867,0.2203314962887953
18,2.8763143851091497,2.988905161378728,3.534064022957696,3.1330945231485248,0.35178342138048435,0.2031022530304702
20,2.8829539053274598,2.9793125006547614,3.518944297160042,3.1270702343807546,0.3427757364994225,0.19790166373961382
