,Frame number,HADDOCK score
0,1,-188.8926
1,2,-201.1028
2,3,-173.2609
3,4,-181.8264
4,5,-186.7107
5,6,-200.0362
6,7,-178.6482
7,8,-167.2735
8,9,-179.5232
9,10,-183.4746
10,11,-187.2824
11,12,-167.05
12,13,-172.659
13,14,-163.9413
14,15,-159.5808
15,16,-179.4888
16,17,-163.7897
17,18,-171.0825
18,19,-166.132
19,20,-165.3517
20,21,-187.0663
21,22,-171.9046
22,23,-152.2665
23,24,-177.1102
24,25,-192.011
25,26,-151.2292
26,27,-178.7644
27,28,-156.7838
28,29,-176.1128
29,30,-184.484
30,31,-167.3349
31,32,-182.9446
32,33,-185.0438
33,34,-179.834
34,35,-168.5202
35,36,-162.9667
36,37,-149.1498
37,38,-176.9434
38,39,-155.6682
39,40,-177.5962
40,41,-153.878
41,42,-151.4521
42,43,-141.5106
43,44,-172.4972
44,45,-164.4269
45,46,-149.6635
46,47,-139.8648
47,48,-118.4662
48,49,-124.324
49,50,-161.5134
50,51,-145.3222
51,52,-131.33
52,53,-148.2192
53,54,-141.2113
54,55,-135.6867
55,56,-147.5289
56,57,-146.2027
57,58,-135.6494
58,59,-137.9665
59,60,-135.0065
60,61,-146.6208
61,62,-157.3409
62,63,-139.5536
63,64,-148.2941
64,65,-123.9078
65,66,-120.3624
66,67,-120.5533
67,68,-137.6045
68,69,-133.3632
69,70,-111.8878
70,71,-144.4556
71,72,-123.7552
72,73,-130.9129
73,74,-142.0393
74,75,-120.9996
75,76,-130.1357
76,77,-149.0095
77,78,-123.9881
78,79,-142.1468
79,80,-127.4785
80,81,-128.3757
81,82,-130.4961
82,83,-128.6467
83,84,-129.0963
84,85,-155.241
85,86,-180.862
86,87,-164.9574
87,88,-159.5496
88,89,-162.9339
89,90,-164.526
90,91,-161.7857
91,92,-152.4144
92,93,-158.4555
93,94,-156.0375
94,95,-149.7201
95,96,-156.4572
96,97,-179.9162
97,98,-167.0018
98,99,-162.2393
99,100,-151.1233
