Stage,dG (kcal/mol),err (kcal/mol)
Separation,-17.790158407569574,0.8718758504982842
RMSD DCAF16_only,-3.899773657299684,0.054138631642746564
RMSD BD1withDCAF16,-2.468588357821663,0.02003393774413618
RMSD BD2_IBG1withDCAF16andBD1,-1.8572678586123725,0.009134835284306714
RMSD DCAF16,6.155762745863089,0.21212251874083343
RMSD BD1_only_bulk,1.9891875190565047,0.017985456525842713
RMSD BD2_IBG1withBD1_bulk,3.146125888809726,0.0577922364585407
thetaA,-0.08045863521684693,0.009260727732947633
thetaB,-0.05289700925765972,0.014777888491383265
phiA,-0.12741528003189453,0.039201356897699394
phiB,-0.04497308117522617,0.010556036064896798
phiC,-0.04215746027847674,0.00832364836124886
Standard state corr,7.4024418604274524,0.0
Total,-7.670171733106623,0.9023659361158388
