,Frame number,HADDOCK score
0,1,-155.9863
1,2,-159.4251
2,3,-166.3444
3,4,-162.7409
4,5,-161.3172
5,6,-142.0319
6,7,-138.1441
7,8,-155.1869
8,9,-146.8499
9,10,-141.7566
10,11,-130.5845
11,12,-131.1993
12,13,-155.1154
13,14,-151.145
14,15,-156.2056
15,16,-148.2658
16,17,-147.7478
17,18,-146.5474
18,19,-132.9723
19,20,-150.9024
20,21,-149.2916
21,22,-158.0263
22,23,-155.7592
23,24,-158.8863
24,25,-168.3222
25,26,-165.3379
26,27,-169.7769
27,28,-145.4524
28,29,-162.4484
29,30,-155.472
30,31,-139.087
31,32,-143.2797
32,33,-149.0491
33,34,-141.1896
34,35,-139.3316
35,36,-133.4276
36,37,-142.7881
37,38,-134.7762
38,39,-140.8802
39,40,-146.3545
40,41,-144.0367
41,42,-160.4538
42,43,-152.575
43,44,-145.7965
44,45,-157.581
45,46,-167.3929
46,47,-134.8248
47,48,-137.9802
48,49,-149.2604
49,50,-149.3153
50,51,-153.1676
51,52,-142.7505
52,53,-168.6803
53,54,-149.4331
54,55,-143.9555
55,56,-142.007
56,57,-126.1289
57,58,-131.1386
58,59,-148.5192
59,60,-145.1645
60,61,-153.127
61,62,-151.6254
62,63,-130.4195
63,64,-145.2847
64,65,-143.4462
65,66,-123.5837
66,67,-154.7762
67,68,-133.1318
68,69,-151.9695
69,70,-153.3584
70,71,-156.6798
71,72,-140.4202
72,73,-160.007
73,74,-155.2016
74,75,-166.9292
75,76,-145.9674
76,77,-147.6056
77,78,-166.5603
78,79,-168.2737
79,80,-168.5753
80,81,-148.0505
81,82,-136.2634
82,83,-147.5943
83,84,-129.6729
84,85,-139.4613
85,86,-156.0915
86,87,-152.2672
87,88,-148.5031
88,89,-144.8942
89,90,-131.3047
90,91,-146.0861
91,92,-130.7931
92,93,-142.8123
93,94,-125.1512
94,95,-156.0838
95,96,-156.267
96,97,-165.401
97,98,-129.7036
98,99,-135.996
99,100,-137.0093
