CV,equilibration_time_ns
0.0,3.798
0.2,0.623
0.4,5.97
0.6,6.926
0.8,4.321
1.0,0.884
1.2,6.5840000000000005
1.4,1.07
1.6,8.759
1.8,5.989
2.0,1.537
2.2,4.888
2.6,7.767
