sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,0.5495331005923632,,1.1677475385384835,0.8586403195654233,0.43714362129913176,0.30910721897306015
12,0.521128381723897,,1.1848182547311903,0.8529733182275436,0.46929960980829566,0.3318449365036466
14,0.47929280926038365,,1.0548872944381666,0.7670900518492751,0.4070067636827901,0.2877972425888915
16,0.4835484464277737,1.0629493674036286,1.0442636030930639,0.8635871389748221,0.32925574455371304,0.19009589275031688
18,0.5014030788665722,1.1400257712566515,0.9460958430018707,0.8625082310416982,0.32741396192555955,0.1890325390541637
20,0.5831617012010617,1.2080425578570129,0.8847760654997874,0.8919934415192873,0.31250294261210404,0.18042365803964844
