Stage,dG (kcal/mol),err (kcal/mol)
Separation,-19.393869602496792,0.6784661167661435
RMSD CRBN_len_only,-5.327988446381961,0.21541226997293528
RMSD CK1awithCRBN_len,-4.062988072066503,0.08087146992562708
RMSD CRBN_len,4.9594611920753,0.08558124370056354
RMSD CK1a,4.608309647399367,0.04157064969292599
thetaA,-0.05119319081749172,0.02139201345666196
thetaB,-0.03380902546774462,0.005350561946807352
phiA,-0.1777877912703459,0.041135223770440814
phiB,-0.17690712316142707,0.07977448832826298
phiC,-0.1878432121778063,0.01957801048620233
Standard state corr,7.976018340425025,0.0
Total,-11.868597283940382,0.7288599326084105
