sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-31.38955447177667,-25.282734302232107,-30.8256135473017,-29.165967440436827,3.3747788143540416,1.948429456922752
12,-31.93971932126583,-23.76729461951347,-29.455786622278914,-28.387600187686076,4.18961789077944,2.4188770170431817
14,-31.830314682112345,-24.200556686688373,-28.812388095745145,-28.281086488181955,3.842526878999473,2.2184839279587183
16,-31.58893510230311,-24.138009850082703,-27.799231849255506,-27.84205893388044,3.7256472455033958,2.1510034400969733
18,-31.8592435424597,-24.44729076170216,-27.905269188082038,-28.070601164081296,3.708741296283785,2.141242785764125
20,-31.20882266816791,-24.06214070010146,-27.692744652523576,-27.654569340264317,3.5734939210835543,2.0631576772850817
22,-30.58763539348123,-23.902215377642417,-27.387918758770617,-27.29258984329809,3.3437293399194905,1.9305030344997676
24,-30.065200004508814,-23.81634056162028,-27.35683194367559,-27.079457503268227,3.1336501909734236,1.8092137813046283
26,-29.30297063641424,-23.700355792987047,-26.968357496544492,-26.657227975315255,2.814236034021121,1.6247999318052393
28,-28.6761931135596,-23.572620167875847,-26.643247963494183,-26.297353748309877,2.569308527415938,1.483390969934793
30,-28.338058685552003,-23.51603490071921,-26.626842652132773,-26.160312079467996,2.444630120651484,1.4114078582272016
