sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-24.479956684701943,-22.2272932173358,-23.533011663424595,-23.41342052182078,1.1310834209571339,0.6530313175655241
12,-24.484117469423214,-23.15896242505448,-24.01150069577313,-23.88486019675027,0.6715931319620119,0.38774447552417146
14,-24.80590138815773,-23.61116037143772,-24.54034671367747,-24.31913615775764,0.6273373150037069,0.36219336769008725
16,-25.0739196665731,-23.921426149519203,-24.47726312815404,-24.490869648082114,0.5763672264721779,0.3327657733557899
18,-25.882531151172547,-23.402477324733475,-24.82439776915655,-24.703135415020856,1.2444658148806933,0.7184926732186553
20,-26.49899038753285,-22.99588571669641,-24.813571366728524,-24.769482490319263,1.7519684516212881,1.0114994571552827
22,-27.190560668006068,-23.01643311928358,-25.261614207864817,-25.156202665051485,2.0890593321563937,1.2061189677735937
24,-27.38180117812912,-23.188576004088542,-25.34761412911257,-25.305997103776747,2.0969223454029624,1.2106586805881419
26,-27.548334112657265,-23.204507193006,-25.595207265040244,-25.449349523567836,2.175583585508111,1.256073768737639
28,-27.940877742728617,-23.08060959657396,-26.10887747809341,-25.710121605798662,2.454548084148804,1.4171339971221921
30,-28.338058685552003,-23.51603490071921,-26.626842652132773,-26.160312079467996,2.444630120651484,1.4114078582272016
