,Frame number,HADDOCK score
0,1,-168.3758
1,2,-155.4942
2,3,-152.2667
3,4,-136.8253
4,5,-150.9666
5,6,-152.4704
6,7,-146.8622
7,8,-148.0669
8,9,-157.0486
9,10,-161.772
10,11,-155.6784
11,12,-168.4269
12,13,-167.406
13,14,-145.0655
14,15,-161.8337
15,16,-168.1058
16,17,-147.6154
17,18,-138.0705
18,19,-158.2453
19,20,-130.3909
20,21,-138.5824
21,22,-132.8189
22,23,-136.4197
23,24,-144.1677
24,25,-140.047
25,26,-140.3729
26,27,-163.8045
27,28,-167.9528
28,29,-158.655
29,30,-152.5461
30,31,-167.8464
31,32,-148.6037
32,33,-161.2963
33,34,-156.3786
34,35,-157.3261
35,36,-172.6175
36,37,-135.7445
37,38,-151.2406
38,39,-127.6149
39,40,-157.7652
40,41,-121.9949
41,42,-140.1954
42,43,-159.5348
43,44,-152.3458
44,45,-148.2205
45,46,-153.9165
46,47,-136.1568
47,48,-145.4304
48,49,-157.1309
49,50,-165.2782
50,51,-155.241
51,52,-154.8138
52,53,-146.6869
53,54,-144.2546
54,55,-149.9746
55,56,-166.0303
56,57,-149.7558
57,58,-169.0235
58,59,-178.3419
59,60,-167.4623
60,61,-169.6892
61,62,-161.3578
62,63,-175.1653
63,64,-152.6042
64,65,-151.8381
65,66,-157.8628
66,67,-156.8219
67,68,-157.5953
68,69,-157.3028
69,70,-170.9429
70,71,-178.7528
71,72,-156.4028
72,73,-170.4188
73,74,-152.1451
74,75,-148.5099
75,76,-157.374
76,77,-161.3387
77,78,-175.5033
78,79,-136.3647
79,80,-158.3926
80,81,-150.7966
81,82,-159.0773
82,83,-167.5048
83,84,-168.9927
84,85,-145.5155
85,86,-147.0642
86,87,-157.3551
87,88,-160.2433
88,89,-160.6716
89,90,-172.6574
90,91,-158.4385
91,92,-166.8286
92,93,-159.8829
93,94,-169.3061
94,95,-150.9549
95,96,-152.7246
96,97,-158.1615
97,98,-157.8592
98,99,-174.8308
99,100,-149.2934
