sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-4.52542319189608,-4.568381691248173,-4.3853031170581245,-4.493036000067459,0.09573995366498354,0.05527548802068055
12,-4.471016900564432,-4.535361203214388,-4.387557846559258,-4.46464531677936,0.07410739416265111,0.04278592396874832
14,-4.488282961194433,-4.503594016598147,-4.326378472226955,-4.439418483339845,0.09819439998643312,0.056692563265080945
16,-4.468085289347476,-4.487397315807708,-4.306553517513402,-4.420678707556195,0.0993058802046884,0.05733427666828958
18,-4.478615431453539,-4.506603414764566,-4.28836933162947,-4.424529392615859,0.11874554079340129,0.06855776994213793
20,-4.472984364353833,-4.492811092454382,-4.256954876971191,-4.4075834445931354,0.13082430517557583,0.07553144780966446
