,Frame number,HADDOCK score
0,1,-79.3456
1,2,-67.1974
2,3,-76.3569
3,4,-51.8934
4,5,-65.6404
5,6,-60.8925
6,7,-65.1736
7,8,-59.0297
8,9,-69.8475
9,10,-60.3172
10,11,-65.6957
11,12,-64.7803
12,13,-68.7234
13,14,-64.1041
14,15,-60.9321
15,16,-74.4663
16,17,-65.5859
17,18,-71.7953
18,19,-62.4046
19,20,-64.1621
20,21,-61.0682
21,22,-65.025
22,23,-67.8393
23,24,-71.2057
24,25,-70.4536
25,26,-70.4836
26,27,-66.4827
27,28,-65.2711
28,29,-67.1184
29,30,-68.8128
30,31,-64.9442
31,32,-70.0564
32,33,-63.8485
33,34,-78.2429
34,35,-75.9458
35,36,-68.7252
36,37,-73.5831
37,38,-73.9128
38,39,-64.9773
39,40,-71.1126
40,41,-75.8692
41,42,-83.4698
42,43,-68.9909
43,44,-65.7094
44,45,-76.2025
45,46,-70.4691
46,47,-70.3992
47,48,-75.9277
48,49,-60.977
49,50,-77.9597
50,51,-73.9939
51,52,-67.7439
52,53,-65.2683
53,54,-71.2357
54,55,-68.5103
55,56,-89.8736
56,57,-60.1567
57,58,-67.0166
58,59,-62.4566
59,60,-68.8245
60,61,-56.1339
61,62,-62.7902
62,63,-55.9282
63,64,-56.6902
64,65,-43.6811
65,66,-47.5983
66,67,-45.2959
67,68,-44.0781
68,69,-59.8814
69,70,-43.107
70,71,-46.2561
71,72,-48.1441
72,73,-53.9174
73,74,-59.4487
74,75,-64.7362
75,76,-65.8584
76,77,-64.9543
77,78,-76.1846
78,79,-39.676
79,80,-52.2503
80,81,-58.1523
81,82,-70.7626
82,83,-67.4529
83,84,-67.3045
84,85,-54.7614
85,86,-51.5979
86,87,-69.3436
87,88,-78.5522
88,89,-74.8425
89,90,-72.3808
90,91,-88.3319
91,92,-82.0849
92,93,-73.9994
93,94,-99.7592
94,95,-63.5699
95,96,-60.2298
96,97,-75.5468
97,98,-85.9658
98,99,-83.9918
99,100,-83.5688
