sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,4.152306212655107,4.722823902418286,4.8788816668908375,4.5846705939880765,0.38248232004515426,0.2208262704383424
12,4.341419395971188,4.838530379546158,4.930522353944904,4.703490709820751,0.3169185353888374,0.18297300171792721
14,4.514392769640436,4.887494205441446,4.9841272337968086,4.79533806962623,0.24805681149761455,0.14321566689246804
16,4.621602946808365,4.942915713965838,4.969132759120048,4.844550473298084,0.19352269386319326,0.11173037939621618
18,4.721091121893074,5.019993646944156,4.994181105612334,4.911755291483188,0.16562364262573648,0.09562285465413534
20,4.7908387213017,5.069214412106789,5.01833044281741,4.9594611920753,0.14823106226430996,0.08558124370056354
