Stage,dG (kcal/mol),err (kcal/mol)
Separation,-19.8883073203494,0.2663348793581512
RMSD DCAF16_only,-8.952859520234789,0.17663283228145005
RMSD BD1withDCAF16,-1.8536655732805745,0.05835991651314336
RMSD BD2_IBG3withDCAF16andBD1,-2.0661003154537623,0.15310223345241009
RMSD DCAF16,5.828972313158538,0.12158210940928295
RMSD BD1_only_bulk,1.846829552252639,0.004618236114583909
RMSD BD2_IBG3withBD1_bulk,3.127070234380754,0.19790166373961393
thetaA,-0.49332172354448905,0.180961559871606
thetaB,-0.050000020616170704,0.013017852567609579
phiA,-0.07913049718708642,0.013048535733079144
phiB,-0.14800813221247092,0.08461002034339457
phiC,-0.023629566856179885,0.0005600993800715838
Standard state corr,7.358161881138078,0.0
Total,-15.393988688804914,0.4724343227004076
