sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-20.429685748652023,-20.23949894719039,-17.467542745494963,-19.378909147112463,1.6580210782094154,0.9572589158262795
12,-19.394287251807583,-19.40587139397407,-17.938725775454387,-18.912961473745344,0.8437327449825502,0.48712932743977727
14,-19.41097142818106,-19.42769269292105,-17.581876414570637,-18.80684684522425,1.060888456509636,0.6125042359460049
16,-18.99455477483196,-18.497789595323063,-18.06500321977172,-18.519115863308915,0.46514259174835915,0.26855020055747536
18,-18.746083640118403,-17.524249309495037,-18.033189703917152,-18.101174217843532,0.6137476708491991,0.35434738297929097
20,-18.86339272904808,-16.677424806584376,-18.068926067279136,-17.869914534303863,1.1064891017099743,0.6388317807276409
22,-18.80866931457006,-16.582648442835854,-17.886172451009816,-17.759163402805243,1.1184322527956054,0.6457271622219024
24,-19.19871999144953,-16.394568475493458,-17.751853054069443,-17.781713840337478,1.4023142233561965,0.809626494343141
26,-18.89266831820992,-16.02760034719856,-17.646101036338713,-17.522123233915732,1.436551945196905,0.8293936522643137
28,-18.793819933836712,-15.988955952491564,-17.225713166347617,-17.33616301755863,1.4056901741444452,0.8115756004395074
30,-18.528000228747736,-15.708151892527884,-17.18429639733568,-17.140149506203766,1.4104424379668696,0.8143193212366443
