sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-18.171332091072607,-13.68393708783481,-15.479312882990609,-15.778194020632675,2.2585782983105873,1.3039907885154645
12,-18.53761113479419,-12.798899085336233,-16.03731233492348,-15.791274185017969,2.87725651881357,1.6611848256646202
14,-18.59431608428829,-13.02597658985558,-16.444411526456264,-16.02156806686671,2.808148611595019,1.6212853568288583
16,-18.624878103233467,-13.001255531798664,-16.841908324236996,-16.156013986423044,2.873868644957817,1.6592288357820206
18,-18.74537723263865,-13.621155632484856,-16.485543349270294,-16.284025404797934,2.568047675439253,1.4826630167066455
20,-18.056629136755003,-13.707221972513471,-16.73690527439354,-16.166918794554004,2.230022221971967,1.2875039301543625
22,-17.884049506115655,-14.003126701744,-16.860880206407398,-16.24935213808902,2.011433664610617,1.1613017677200153
24,-17.797481022324412,-14.44577349115938,-17.225454157647277,-16.48956955704369,1.7929390543661052,1.035153845678864
26,-18.02185951665445,-15.220475313589272,-17.157167967250828,-16.799834265831517,1.4344698999711711,0.8281915828927713
28,-18.200409781185886,-15.545381052141972,-17.156565036159904,-16.96745195649592,1.3375788596143157,0.7722515146606779
30,-18.528000228747736,-15.708151892527884,-17.18429639733568,-17.140149506203766,1.4104424379668696,0.8143193212366443
