,Frame number,HADDOCK score
0,1,-62.7771
1,2,-60.5641
2,3,-66.5468
3,4,-55.0707
4,5,-66.0898
5,6,-66.0102
6,7,-66.3062
7,8,-60.9446
8,9,-61.5129
9,10,-57.4318
10,11,-74.1891
11,12,-55.2386
12,13,-59.298
13,14,-60.4085
14,15,-61.289
15,16,-69.0367
16,17,-61.5482
17,18,-72.6615
18,19,-69.8702
19,20,-60.3391
20,21,-55.6707
21,22,-52.9297
22,23,-61.3989
23,24,-51.396
24,25,-63.6192
25,26,-58.9693
26,27,-50.4396
27,28,-57.1662
28,29,-50.0692
29,30,-49.5917
30,31,-51.2593
31,32,-59.7183
32,33,-58.8956
33,34,-59.779
34,35,-65.0943
35,36,-52.4889
36,37,-68.0266
37,38,-60.7634
38,39,-61.4554
39,40,-62.0172
40,41,-65.9583
41,42,-63.0477
42,43,-57.8271
43,44,-61.0837
44,45,-58.642
45,46,-67.9041
46,47,-61.419
47,48,-65.413
48,49,-63.1531
49,50,-69.6001
50,51,-59.5179
51,52,-63.8403
52,53,-69.9005
53,54,-70.5255
54,55,-61.0244
55,56,-63.3315
56,57,-73.5382
57,58,-63.8964
58,59,-60.2846
59,60,-58.7496
60,61,-50.7724
61,62,-58.907
62,63,-44.2913
63,64,-63.0807
64,65,-61.3273
65,66,-51.6007
66,67,-68.9682
67,68,-71.0828
68,69,-63.9854
69,70,-58.475
70,71,-65.0334
71,72,-56.3615
72,73,-57.2519
73,74,-64.9928
74,75,-59.1695
75,76,-58.8506
76,77,-70.0265
77,78,-68.0628
78,79,-64.2823
79,80,-66.3427
80,81,-79.6489
81,82,-80.192
82,83,-75.8257
83,84,-79.5058
84,85,-80.8989
85,86,-72.2108
86,87,-70.8821
87,88,-72.311
88,89,-71.3148
89,90,-73.3293
90,91,-69.3697
91,92,-74.6977
92,93,-75.034
93,94,-64.3628
94,95,-79.5645
95,96,-69.0899
96,97,-66.2661
97,98,-60.8692
98,99,-65.3327
99,100,-75.1969
