sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.1215088442028173,-0.1136512595294341,-0.1230290404015157,-0.11939638137792236,0.005033146919285906,0.0029058887287206534
2,-0.1187938830328615,-0.1149299193904627,-0.1293310326481904,-0.12101827835717154,0.007453788746978576,0.0043034469395506845
3,-0.1265667705047046,-0.1179945764442235,-0.1278689938540672,-0.12414344693433177,0.005364736959162071,0.0030973323275037563
4,-0.1387699862651853,-0.1193202579480768,-0.1258186350466702,-0.12796962641997744,0.009901669345032922,0.005716731461781424
5,-0.1493947042724982,-0.1210740258675918,-0.119450379186766,-0.12997303644228533,0.016839238198813604,0.009722138707033263
