sampling_time_ns,dg_kcal_mol
10,-8.32266442778982
12,-8.7657001267961
14,-9.172254383030225
16,-9.572417586141198
18,-9.776967151591549
20,-9.866046211608477
22,-9.932838884555016
24,-10.042010060132869
26,-9.8874426128062
28,-9.8721066671956
30,-10.07260844575202
