sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-0.1801295800561012,-0.2100813350580709,-0.2599004839671824,-0.21670379969378484,0.04029568284675419,0.023264723338753318
2,-0.2146181180530212,-0.1757947906369139,-0.2220528475874758,-0.2041552520924703,0.02484060448724423,0.014341729687543483
3,-0.2067300269604551,-0.1686602628584927,-0.1812083799984364,-0.18553288993912806,0.019399813771403113,0.011200487703148198
4,-0.2170941725698058,-0.1561815264931051,-0.194533025698442,-0.18926957492045096,0.030795544297602548,0.017779815790061878
5,-0.2012548557053409,-0.1559478910677844,-0.2037921366437709,-0.18699829447229874,0.026920347552129357,0.015542469905900169
