Stage,dG (kcal/mol),err (kcal/mol)
Separation,-9.971392232692613,0.388110419288328
RMSD CRBN_only,-4.45198756485314,0.13648320301759398
RMSD CK1awithCRBN,-4.2835182069057005,0.156605571698654
RMSD CRBN,4.724111590157101,0.10714801602318112
RMSD CK1a,3.27498915827538,0.15298350586306106
thetaA,-0.12174494557569261,0.07833411835024215
thetaB,-0.05257377996285308,0.01705762554709217
phiA,-0.1888796070290377,0.02234584294517327
phiB,-0.29696501914274415,0.1090411295300951
phiC,-0.05869672792529509,0.008559334900380926
Standard state corr,7.542263925383508,0.0
Total,-3.8843934102710866,0.4975510840949939
