Stage,dG (kcal/mol),err (kcal/mol)
Separation,-20.66656991600732,0.9545197260838123
RMSD DCAF16_only,-3.7485504675541286,0.10198480863479334
RMSD BD1withDCAF16,-2.6571225543638985,0.10313764235632925
RMSD BD2withDCAF16andBD1,-2.5331277460222292,0.08495066062408896
RMSD DCAF16,5.506478785074567,0.20363856480577738
RMSD BD1_only_bulk,2.7457715160006475,0.07923237322669109
RMSD BD2withBD1_bulk,2.231605538592577,0.16882641922909555
thetaA,-0.036094478183239125,0.00992739733366045
thetaB,-0.08898719772866881,0.037264029911380704
phiA,-0.05064509170014084,0.009154492893168322
phiB,-0.10518776275773345,0.025374069293493572
phiC,-0.04517103447843812,0.011502428342127403
Standard state corr,7.3866886377050385,0.0
Total,-12.060911771422969,1.0089393964422027
