,Frame number,HADDOCK score
0,1,-77.9179
1,2,-77.5028
2,3,-96.4701
3,4,-83.5806
4,5,-94.4041
5,6,-92.6463
6,7,-78.7604
7,8,-71.5278
8,9,-89.8262
9,10,-93.9128
10,11,-112.5849
11,12,-100.0732
12,13,-98.0803
13,14,-105.8615
14,15,-75.3807
15,16,-89.9033
16,17,-103.722
17,18,-78.2798
18,19,-92.4532
19,20,-101.5707
20,21,-99.1686
21,22,-103.288
22,23,-104.0702
23,24,-98.1146
24,25,-100.0602
25,26,-104.1435
26,27,-90.7626
27,28,-92.3387
28,29,-76.5306
29,30,-74.254
30,31,-83.3839
31,32,-87.6277
32,33,-64.7965
33,34,-87.9293
34,35,-104.3246
35,36,-89.4232
36,37,-90.2431
37,38,-106.2714
38,39,-91.5582
39,40,-104.5283
40,41,-85.3985
41,42,-85.7285
42,43,-83.2745
43,44,-97.3771
44,45,-103.1464
45,46,-103.5909
46,47,-70.7261
47,48,-84.9004
48,49,-61.5821
49,50,-63.8215
50,51,-59.2077
51,52,-52.6818
52,53,-63.4135
53,54,-71.1524
54,55,-59.0635
55,56,-68.4099
56,57,-65.1972
57,58,-73.9318
58,59,-66.6122
59,60,-72.0521
60,61,-67.1374
61,62,-77.006
62,63,-71.1495
63,64,-57.4327
64,65,-53.5976
65,66,-57.7012
66,67,-60.5428
67,68,-58.0
68,69,-53.8005
69,70,-60.1543
70,71,-49.6722
71,72,-49.577
72,73,-59.9386
73,74,-61.6703
74,75,-65.9832
75,76,-63.8308
76,77,-49.6958
77,78,-59.1185
78,79,-58.4896
79,80,-69.7214
80,81,-77.4937
81,82,-67.7894
82,83,-68.2409
83,84,-66.4755
84,85,-63.4287
85,86,-64.6465
86,87,-52.7499
87,88,-67.5683
88,89,-59.7549
89,90,-73.0834
90,91,-75.8686
91,92,-72.3503
92,93,-86.192
93,94,-85.3385
94,95,-70.5291
95,96,-67.5518
96,97,-67.5356
97,98,-73.3306
98,99,-85.9447
99,100,-105.3451
