sampling_time_ns,dg_repeat1,dg_repeat2,dg_repeat3,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
1,-1.7883174371283044,-2.0437721111239324,-1.4566194505757917,-1.7629029996093426,0.2944002070702294,0.16997203880147851
2,-1.636664577270069,-1.6540192808214758,-1.269410147221717,-1.5200313351044208,0.21721770483927494,0.12541070036170807
3,-1.565957187714406,-1.5036395821842894,-1.2577520554011428,-1.4424496084332794,0.16295938316585518,0.09408464373778186
4,-1.4243611200307726,-1.3754875258208312,-1.1604538025876965,-1.3201008161464334,0.14040133103506236,0.08106074626767501
5,-1.3260676289800484,-1.3074847819336337,-1.1099486490860886,-1.2478336866665902,0.1197728819162329,0.06915090561595433
